,name,url,varietal,origin,rating_dict,avg_rating,rating_count,page,red,white,sparking,collectible,giftable,green,screwcap,boutique,price,price_bins,description
878,Louis de Grenelle Corail Saumur Rose,/product/louis-de-grenelle-corail-saumur-rose/132064,Rosé Sparkling Wine,France,{},4.9,5,38,0,0,1,0,0,1,0,0.0,19.99,<20,"A deep pink appearance flecked with fine bubbles. The bouquet is a festival of small red fruit (raspberry, wild strawberry) and flowers (iris, violet). On the palate, the wine presents notes of sour candies and red fruit. 100% Cabernet Franc.A wine for celebration par excellence, this is perfect as an aperitif or to accompany desserts (fruit tart, chocolate gateau). View More"
879,The Seeker Sauvignon Blanc 2018,/product/the-seeker-sauvignon-blanc-2018/520094,Sauvignon Blanc,New Zealand,{},4.6,6,38,0,1,0,0,0,0,1,0.0,13.99,<20, View More
880,Argyros Estate Atlantis White 2017,/product/argyros-estate-atlantis-white-2017/431232,Other White Blends,Greece,{},4.7,5,38,0,1,0,0,0,0,0,0.0,20.99,20-50,"Light-bodied and well-balanced, with a cool minerality and refreshing acidity. The relatively high acidity of Assyrtiko gives this easy-drinking white a crisp freshness.Great with fish and seafood, pasta and light poultry.Blend:90% Assyrtiko, 5% Aidani, 5% Athiri View More"
881,Francis Ford Coppola Director's Cut Dry Creek Valley Zinfandel 2014,/product/francis-ford-coppola-directors-cut-dry-creek-valley-zinfandel-2014/348802,Zinfandel,California,{},4.7,5,38,1,0,0,0,0,0,0,0.0,27.0,20-50,"This Zinfandel is unique in that it’s blended with the best selections of Petite Sirah. Even though the Zinfandel from this terrific vintage showed great complexity on its own, Petite Sirah was added to enhance the structure of the wine. A combination of French and American oak enhanced the fruit’s spice qualities, giving the wine some shoulders as well. The 2014 Director’s Cut Zinfandel demonstrates a lush full body and velvety palate. Scents of blackberries, cherries, cloves, black pepper and oak are followed by flavors of black currants and raspberries that are enlivened with intriguing notes of bramble, anise, and spices.
Blend: 78% Zinfandel, 22% Petite Sirah View More"
882,Hartford Court Four Hearts Chardonnay 2017,/product/hartford-court-four-hearts-chardonnay-2017/518974,Chardonnay,California,"{'JD': '97', 'RP': '96'}",0.0,0,38,0,1,0,0,0,0,0,0.0,48.99,20-50,"This highly textured wine displays aromas of yellow apple, honeysuckle and tangerine skin.  Fresh flavors of Granny Smith apple and Meyer lemon are intertwined with layers of spice and crystallized ginger. A rich and weighty mid-palate is followed by a very long exotic, mineral-infused finish. View More"
883,Bibi Graetz Testamatta 2015,/product/bibi-graetz-testamatta-2015/506280,Sangiovese,Italy,"{'JS': '99', 'WS': '92'}",0.0,0,38,1,0,0,1,0,0,0,1.0,99.99,50-100,"Citrus rind, plums, cedar, and rose petals. Full body, fine, and silky tannins and a long finish. Persistence and intensity. Salty undertone at the end. View More"
884,Chateau Berliquet (Futures Pre-Sale) 2018,/product/chateau-berliquet-futures-pre-sale-2018/520380,Bordeaux Red Blends,France,"{'JD': '96', 'JS': '95', 'RP': '95', 'WS': '94', 'D': '93'}",0.0,0,38,1,0,0,0,0,0,0,0.0,47.97,20-50,"Blend: 78% Merlot, 22% Caberent Franc View More"
885,Clos de l'Oratoire 2016,/product/clos-de-loratoire-2016/200193,Bordeaux Red Blends,France,"{'JS': '96', 'V': '94', 'WS': '93', 'RP': '93', 'JD': '93'}",0.0,0,38,1,0,0,0,0,0,0,0.0,49.99,20-50,"Blend: 90% Merlot, 10% Cabernet Franc View More"
886,Chateau Calon-Segur Le Marquis de Calon-Segur (Futures Pre-Sale) 2018,/product/chateau-calon-segur-le-marquis-de-calon-segur-futures-pre-sale-2018/527008,Bordeaux Red Blends,France,"{'JD': '95', 'RP': '94', 'JS': '92', 'D': '91'}",0.0,0,38,1,0,0,0,0,0,0,0.0,28.97,20-50,"Blend: 53% Merlot, 47% Cabernet Sauvignon View More"
887,Domaine Lafage Bastide Miraflors Vieilles Vignes 2016,/product/domaine-lafage-bastide-miraflors-vieilles-vignes-2016/523199,Rhone Red Blends,France,{'JD': '94'},0.0,0,38,1,0,0,0,0,1,0,0.0,18.99,<20,"A custom cuvée for European Cellars and a joint project between Eric Solomon and Jean-Marc Lafage, Bastide Miraflors is a cuvée created from Grenache grown on rocky, alluvial clay soils resembling those of the Rhône Valley combined with Syrah grown on schist in the village of Maury. After a long maceration of six weeks the wine ages for 12 months in concrete (Grenache) and 600L French oak demi-muids (Syrah). View More"
888,Belle Glos Las Alturas Vineyard Pinot Noir 2017,/product/belle-glos-las-alturas-vineyard-pinot-noir-2017/517712,Pinot Noir,California,{},4.7,13,39,1,0,0,0,0,0,0,0.0,55.0,50-100,"The Spanish term 'Las Alturas' means 'the heights', a fitting name for this vineyard located on one of the highest grape-growing benches in the Santa Lucia Highlands AVA. At this elevation, the sunny but very cool climate creates a wine bearing all the hallmarks of this coastal region: robust, expressive, full-bodied and balanced by firm acidity.
Deep garnet in color with an aromatic medley of black cherry, marionberry, ripe plum, and a hint of anise. Dark fruit on the palate with flavors of wild berries, caramelized oak and cacao nibs complemented by subtle notes of vanilla, cedar and a hint of lavender and forest floor. Rich and unrestrained, this wine’s abundant fruit is beautifully balanced by firm acidity and layers of red and black fruit. View More"
889,Lapostolle Casa Grand Selection Sauvignon Blanc 2018,/product/lapostolle-casa-grand-selection-sauvignon-blanc-2018/522556,Sauvignon Blanc,Chile,{'JS': '92'},0.0,0,39,0,1,0,0,0,1,1,0.0,15.99,<20,"Pale yellow with green edges. Very expressive with aromas of fresh herbs and cucumber, white fruit such as pears along with floral notes. Balance and fresh mid palate with good volume and a long lasting finish.
Pairs well with an aperitif, clams with cheese, lemon and coriander and jam and melon salad.  View More"
890,Chateau Bellevue Mondotte (Futures Pre-Sale) 2018,/product/chateau-bellevue-mondotte-futures-pre-sale-2018/520379,Bordeaux Red Blends,France,"{'JD': '98', 'JS': '97', 'RP': '97', 'WS': '96', 'D': '93'}",0.0,0,39,1,0,0,1,0,0,0,0.0,144.97,100+, View More
891,Chateau Calon-Segur 2016,/product/chateau-calon-segur-2016/202259,Bordeaux Red Blends,France,"{'JS': '98', 'JD': '97', 'WS': '96', 'WE': '96', 'RP': '96', 'D': '96'}",0.0,0,39,1,0,0,1,0,0,0,0.0,144.99,100+,"Blend:  60% Cabernet Sauvignon, 18% Cabernet Franc, 20% Merlot, 2% Petit Verdot View More"
892,Lapostolle Grand Selection Cabernet Sauvignon 2017,/product/lapostolle-grand-selection-cabernet-sauvignon-2017/524744,Cabernet Sauvignon,Chile,{'JS': '92'},0.0,0,39,1,0,0,0,0,0,0,0.0,17.99,<20,"This Cabernet Sauvignon has flavors of red currant, strawberry and blackberry, with a supple and round palate.  An ideal companion for all red meat, winter soups and barbecue.Serve at 16°C (60°F). The ideal companion for well grilled red meat, bolognesa pasta and cheese.
Blend: 85% Cabernet Sauvignon, 15% Syrah View More"
